Edge name,Node A,Node B,X of A,Y of A,X of B,Y of B,Avg Speed,Med Speed
312,190,189,-87.6982405466,41.9539738893,-87.7080148748,41.9539197161,19.76449690579876,19.9375
313,495,190,-87.688466237,41.9540127406,-87.6982405466,41.9539738893,24.081251432500572,24.0
314,226,495,-87.6787543115,41.9541569379,-87.688466237,41.9540127406,21.052830621132248,21.0
315,453,226,-87.6690488604,41.9542903537,-87.6787543115,41.9541569379,21.404652761861104,22.0
316,124,453,-87.6622499597,41.9543781042,-87.6690488604,41.9542903537,21.032431812972725,21.0
317,125,124,-87.6545447389,41.9544883761,-87.6622499597,41.9543781042,22.962296584918633,23.0
318,429,125,-87.6497230883,41.9545786712,-87.6545447389,41.9544883761,22.526816410726564,23.0
319,426,429,-87.644666137,41.9546745987,-87.6497230883,41.9545786712,16.29303231721476,17.48648649
320,415,122,-87.8057322715,41.9088702382,-87.7948036008,41.9090357317,24.68943387577355,25.0
321,122,348,-87.7948036008,41.9090357317,-87.7849639298,41.9091116667,26.99266559706624,27.0
322,348,170,-87.7849639298,41.9091116667,-87.7756155014,41.9092626362,25.332798533119412,25.0
323,170,169,-87.7756155014,41.9092626362,-87.7657241677,41.9093787295,22.140155856062343,22.0
324,169,279,-87.7657241677,41.9093787295,-87.7557956222,41.9095012727,20.64405225762159,20.0
325,279,460,-87.7557956222,41.9095012727,-87.7461005015,41.9096272103,22.771602108640842,23.0
326,460,117,-87.7461005015,41.9096272103,-87.7362631113,41.909755562,25.064978225989915,25.0
327,423,330,-87.6811591434,41.6918107595,-87.6813877158,41.6990789604,26.647965030614255,26.73076923
328,330,358,-87.6813877158,41.6990789604,-87.6816203656,41.7063763231,28.697538497620904,28.89655172
329,358,208,-87.6816203656,41.7063763231,-87.681843365,41.7136737862,25.838965614655052,26.33561644
330,208,390,-87.681843365,41.7136737862,-87.6820559707,41.7209458137,26.420148578363513,26.64659686
331,390,157,-87.6820559707,41.7209458137,-87.6822996518,41.7282296739,27.05924822369929,27.0
332,157,476,-87.6822996518,41.7282296739,-87.6825140358,41.7355272847,31.772977309190924,33.0
333,476,201,-87.6825140358,41.7355272847,-87.6826792223,41.7428157102,27.43788677515471,25.8
334,201,487,-87.6826792223,41.7428157102,-87.6827999089,41.7500768239,25.417930560271373,25.0
335,487,293,-87.6827999089,41.7500768239,-87.6831024809,41.7592321214,26.50034380013752,27.0
336,293,322,-87.6831024809,41.7592321214,-87.683242683,41.764702213,25.25406830162732,25.0
337,322,321,-87.683242683,41.764702213,-87.6834442361,41.771977615,23.11093284437314,23.0
338,321,269,-87.6834442361,41.771977615,-87.6836393491,41.7792160138,23.24696309878524,23.0
339,269,191,-87.6836393491,41.7792160138,-87.6838306032,41.7865287214,22.835319734127893,23.0
340,191,472,-87.6838306032,41.7865287214,-87.6840417707,41.7938765823,25.57701123080449,26.0
341,472,243,-87.6840417707,41.7938765823,-87.6842240325,41.8011461815,28.078501031400414,29.0
342,243,308,-87.6842240325,41.8011461815,-87.6844253566,41.8084257503,24.68416227366491,25.0
343,308,314,-87.6844253566,41.8084257503,-87.6846283806,41.8156959283,27.005271602108643,28.0
344,314,458,-87.6846283806,41.8156959283,-87.6848883856,41.8230606699,27.728397891359158,29.0
345,458,506,-87.6848883856,41.8230606699,-87.6848985874,41.8259770206,22.55901902360761,25.0
346,506,304,-87.6848985874,41.8259770206,-87.685222803,41.8390740156,27.096607838643134,27.0
347,304,500,-87.685222803,41.8390740156,-87.6856431889,41.8520509239,26.477882191152876,27.0
348,500,309,-87.6856431889,41.8520509239,-87.685871,41.857506,19.947856979142106,19.0
349,309,463,-87.685871,41.857506,-87.6860384135,41.866612543,26.161471464588587,27.0
350,463,359,-87.6860384135,41.866612543,-87.6862695002,41.87608362,25.476392390556956,26.0
351,359,480,-87.6862695002,41.87608362,-87.6864614559,41.8826289903,21.221521888608756,22.0
352,480,155,-87.6864614559,41.8826289903,-87.6866945095,41.8906480588,24.451409580563833,25.0
353,155,398,-87.6866945095,41.8906480588,-87.6868425976,41.8957432454,24.80059592023837,25.0
354,398,379,-87.6868425976,41.8957432454,-87.6870267628,41.9030161269,20.963442585377035,21.0
355,379,502,-87.6870267628,41.9030161269,-87.6872206971,41.9103208679,22.37348154939262,23.0
