Knoten1,Knoten2,Zähler,Zähler_normalisiert
488,21,40,0.9937733499377335
21,534,28,0.9956413449564134
537,525,9,0.9985990037359901
525,518,11,0.9982876712328768
466,336,64,0.9900373599003736
336,318,64,0.9900373599003736
318,317,64,0.9900373599003736
317,487,64,0.9900373599003736
487,302,70,0.9891033623910336
302,507,70,0.9891033623910336
446,393,30,0.9953300124533001
393,471,30,0.9953300124533001
471,439,29,0.9954856787048568
439,252,29,0.9954856787048568
252,224,29,0.9954856787048568
224,451,29,0.9954856787048568
534,477,48,0.9925280199252802
528,24,1,0.9998443337484434
24,432,1,0.9998443337484434
425,93,12,0.99813200498132
93,448,12,0.99813200498132
448,337,12,0.99813200498132
337,467,12,0.99813200498132
162,30,184,0.9713574097135741
489,311,17,0.9973536737235368
311,119,17,0.9973536737235368
119,118,17,0.9973536737235368
118,137,17,0.9973536737235368
137,466,17,0.9973536737235368
491,492,3,0.9995330012453301
492,17,7,0.9989103362391034
17,97,3,0.9995330012453301
97,87,3,0.9995330012453301
87,88,3,0.9995330012453301
88,451,8,0.9987546699875467
473,260,35,0.9945516811955168
260,261,35,0.9945516811955168
261,267,35,0.9945516811955168
267,183,35,0.9945516811955168
183,184,35,0.9945516811955168
184,485,35,0.9945516811955168
485,489,33,0.9948630136986302
451,417,1,0.9998443337484434
516,536,3,0.9995330012453301
507,404,5,0.9992216687422167
404,462,5,0.9992216687422167
162,31,91,0.9858343711083437
506,296,8,0.9987546699875467
296,503,8,0.9987546699875467
456,238,1,0.9998443337484434
238,237,1,0.9998443337484434
237,495,1,0.9998443337484434
486,194,45,0.9929950186799502
194,475,45,0.9929950186799502
526,20,76,0.9881693648816936
535,212,6,0.99906600249066
212,488,6,0.99906600249066
495,237,15,0.9976650062266501
237,238,15,0.9976650062266501
238,456,15,0.9976650062266501
162,1,95,0.9852117061021171
202,72,17,0.9973536737235368
72,71,17,0.9973536737235368
71,70,17,0.9973536737235368
70,69,17,0.9973536737235368
69,68,17,0.9973536737235368
68,67,17,0.9973536737235368
67,66,17,0.9973536737235368
66,450,17,0.9973536737235368
450,414,17,0.9973536737235368
414,413,17,0.9973536737235368
413,493,17,0.9973536737235368
493,394,5,0.9992216687422167
394,179,5,0.9992216687422167
179,513,5,0.9992216687422167
493,132,12,0.99813200498132
132,133,12,0.99813200498132
133,479,12,0.99813200498132
490,207,5,0.9992216687422167
207,504,5,0.9992216687422167
442,428,10,0.9984433374844334
471,228,5,0.9992216687422167
228,16,5,0.9992216687422167
16,88,5,0.9992216687422167
487,201,4,0.9993773349937733
201,476,4,0.9993773349937733
529,412,35,0.9945516811955168
438,432,16,0.9975093399750934
162,2,96,0.9850560398505604
17,127,4,0.9993773349937733
127,471,4,0.9993773349937733
